product_id,component_id,quantity,component_version
PROD-011,COMP-003,2,v1.0
PROD-011,COMP-023,6,v1.0
PROD-011,COMP-021,9,v1.1
PROD-011,COMP-002,5,v2.1
PROD-011,COMP-008,4,v3.0
PROD-012,COMP-024,8,v2.1
PROD-012,COMP-029,4,v1.0
PROD-012,COMP-019,2,v2.1
PROD-012,COMP-028,6,v2.1
PROD-012,COMP-016,7,v2.1
PROD-012,COMP-008,1,v1.0
PROD-013,COMP-013,2,v1.1
PROD-013,COMP-024,4,v1.1
PROD-013,COMP-011,9,v2.1
PROD-013,COMP-026,3,v2.1
PROD-013,COMP-028,3,v2.0
PROD-014,COMP-008,9,v1.0
PROD-014,COMP-028,2,v1.1
PROD-014,COMP-003,3,v2.1
PROD-014,COMP-015,8,v2.1
PROD-014,COMP-026,4,v2.1
PROD-014,COMP-018,1,v1.1
PROD-014,COMP-004,7,v1.0
PROD-014,COMP-002,7,v2.0
PROD-015,COMP-010,8,v1.1
PROD-015,COMP-014,4,v2.0
PROD-015,COMP-023,4,v1.0
PROD-015,COMP-024,10,v3.0
PROD-015,COMP-026,1,v2.0
PROD-015,COMP-018,1,v1.0
PROD-015,COMP-022,10,v2.1
PROD-015,COMP-028,9,v3.0
PROD-016,COMP-002,2,v1.1
PROD-016,COMP-017,7,v1.0
PROD-016,COMP-003,10,v1.1
PROD-016,COMP-006,10,v3.0
PROD-016,COMP-028,1,v3.0
PROD-016,COMP-020,2,v2.1
PROD-017,COMP-030,5,v2.1
PROD-017,COMP-009,3,v2.0
PROD-017,COMP-007,8,v2.0
PROD-017,COMP-022,2,v1.0
PROD-017,COMP-023,8,v3.0
PROD-017,COMP-011,10,v1.0
PROD-017,COMP-008,2,v3.0
PROD-018,COMP-017,6,v2.0
PROD-018,COMP-009,3,v2.1
PROD-018,COMP-005,9,v2.0
PROD-018,COMP-012,10,v3.0
PROD-018,COMP-003,1,v3.0
PROD-018,COMP-008,5,v1.0
PROD-019,COMP-009,5,v2.0
PROD-019,COMP-004,10,v1.1
PROD-019,COMP-029,6,v1.1
PROD-019,COMP-024,5,v3.0
PROD-019,COMP-018,8,v2.0
PROD-019,COMP-005,1,v1.0
PROD-020,COMP-027,5,v1.1
PROD-020,COMP-009,8,v3.0
PROD-020,COMP-002,7,v3.0
PROD-020,COMP-001,1,v1.0
PROD-020,COMP-011,2,v1.1
PROD-020,COMP-025,9,v1.0
PROD-020,COMP-005,6,v3.0
PROD-020,COMP-021,9,v1.1
PROD-021,COMP-005,4,v1.0
PROD-021,COMP-002,6,v3.0
PROD-021,COMP-010,7,v3.0
PROD-021,COMP-012,3,v1.1
PROD-021,COMP-026,3,v1.1
PROD-021,COMP-029,7,v1.0
PROD-021,COMP-027,3,v2.0
PROD-021,COMP-007,7,v1.1
PROD-022,COMP-006,4,v1.1
PROD-022,COMP-026,8,v2.0
PROD-022,COMP-023,5,v1.1
PROD-022,COMP-004,4,v1.0
PROD-022,COMP-013,4,v2.1
PROD-022,COMP-002,6,v2.0
PROD-022,COMP-016,2,v2.0
PROD-023,COMP-021,2,v2.0
PROD-023,COMP-017,3,v3.0
PROD-023,COMP-013,5,v1.0
PROD-023,COMP-022,2,v3.0
PROD-023,COMP-018,7,v2.0
PROD-023,COMP-011,6,v2.1
PROD-023,COMP-001,10,v3.0
PROD-024,COMP-013,1,v2.1
PROD-024,COMP-029,1,v3.0
PROD-024,COMP-019,9,v1.1
PROD-024,COMP-007,6,v2.1
PROD-024,COMP-009,2,v2.0
PROD-025,COMP-022,7,v2.0
PROD-025,COMP-028,7,v2.0
PROD-025,COMP-004,9,v1.1
PROD-025,COMP-024,4,v2.1
PROD-025,COMP-010,7,v1.1
PROD-025,COMP-017,10,v3.0
PROD-025,COMP-026,5,v2.1
PROD-026,COMP-010,10,v2.0
PROD-026,COMP-007,8,v2.1
PROD-026,COMP-014,8,v1.1
PROD-026,COMP-026,9,v2.1
PROD-026,COMP-019,3,v1.0
PROD-027,COMP-017,5,v1.1
PROD-027,COMP-022,4,v1.1
PROD-027,COMP-021,1,v1.0
PROD-027,COMP-020,4,v2.1
PROD-027,COMP-011,10,v1.0
PROD-027,COMP-003,8,v2.1
PROD-027,COMP-008,10,v1.1
PROD-028,COMP-016,7,v1.1
PROD-028,COMP-013,3,v3.0
PROD-028,COMP-008,8,v1.0
PROD-028,COMP-005,9,v1.1
PROD-028,COMP-021,2,v2.1
PROD-028,COMP-023,3,v2.1
PROD-028,COMP-001,9,v3.0
PROD-028,COMP-004,10,v2.0
PROD-029,COMP-020,8,v2.1
PROD-029,COMP-027,5,v1.1
PROD-029,COMP-024,5,v3.0
PROD-029,COMP-017,8,v1.1
PROD-029,COMP-014,5,v2.1
PROD-029,COMP-018,2,v2.0
PROD-029,COMP-015,4,v2.0
PROD-029,COMP-006,6,v2.0
PROD-030,COMP-005,2,v2.1
PROD-030,COMP-008,7,v2.0
PROD-030,COMP-013,9,v2.1
PROD-030,COMP-023,7,v1.0
PROD-030,COMP-007,4,v2.1
PROD-031,COMP-029,8,v1.0
PROD-031,COMP-025,6,v2.0
PROD-031,COMP-019,7,v2.1
PROD-031,COMP-023,9,v3.0
PROD-031,COMP-001,10,v1.1
PROD-031,COMP-030,8,v1.1
PROD-031,COMP-028,5,v2.1
PROD-031,COMP-013,8,v1.0
PROD-032,COMP-011,3,v3.0
PROD-032,COMP-022,9,v1.0
PROD-032,COMP-029,7,v3.0
PROD-032,COMP-026,10,v1.0
PROD-032,COMP-013,2,v2.1
PROD-032,COMP-024,3,v2.1
PROD-032,COMP-006,3,v1.0
PROD-032,COMP-015,5,v2.1
PROD-033,COMP-007,7,v2.0
PROD-033,COMP-015,2,v2.1
PROD-033,COMP-011,1,v3.0
PROD-033,COMP-028,1,v2.0
PROD-033,COMP-025,4,v1.0
PROD-033,COMP-013,1,v1.0
PROD-033,COMP-009,4,v1.1
PROD-034,COMP-020,2,v3.0
PROD-034,COMP-005,4,v2.1
PROD-034,COMP-008,5,v2.0
PROD-034,COMP-016,3,v3.0
PROD-034,COMP-022,10,v1.0
PROD-035,COMP-010,7,v2.1
PROD-035,COMP-004,4,v1.0
PROD-035,COMP-019,10,v1.1
PROD-035,COMP-001,2,v2.0
PROD-035,COMP-030,10,v1.0
PROD-035,COMP-028,10,v1.0
PROD-036,COMP-018,6,v1.0
PROD-036,COMP-014,7,v2.1
PROD-036,COMP-022,2,v2.1
PROD-036,COMP-012,6,v2.1
PROD-036,COMP-003,3,v2.1
PROD-036,COMP-017,3,v3.0
PROD-036,COMP-021,5,v3.0
PROD-037,COMP-015,2,v2.0
PROD-037,COMP-014,8,v1.1
PROD-037,COMP-027,8,v3.0
PROD-037,COMP-024,10,v2.1
PROD-037,COMP-019,6,v1.0
PROD-037,COMP-009,8,v2.0
PROD-037,COMP-011,3,v2.1
PROD-037,COMP-008,4,v2.0
PROD-038,COMP-011,9,v1.1
PROD-038,COMP-009,2,v1.1
PROD-038,COMP-020,7,v2.1
PROD-038,COMP-023,9,v1.1
PROD-038,COMP-029,8,v2.1
PROD-038,COMP-018,8,v1.0
PROD-038,COMP-001,2,v2.0
PROD-039,COMP-013,6,v2.1
PROD-039,COMP-023,9,v3.0
PROD-039,COMP-008,6,v2.1
PROD-039,COMP-010,9,v2.0
PROD-039,COMP-022,6,v2.1
PROD-039,COMP-019,5,v2.0
PROD-040,COMP-008,9,v1.1
PROD-040,COMP-004,4,v1.1
PROD-040,COMP-024,8,v2.0
PROD-040,COMP-007,10,v3.0
PROD-040,COMP-011,10,v2.0
PROD-040,COMP-029,2,v1.1
PROD-040,COMP-028,5,v1.1
PROD-041,COMP-006,1,v1.0
PROD-041,COMP-010,9,v2.0
PROD-041,COMP-001,3,v2.1
PROD-041,COMP-023,2,v1.0
PROD-041,COMP-018,10,v2.0
PROD-041,COMP-005,8,v2.1
PROD-041,COMP-009,8,v2.0
PROD-042,COMP-002,7,v2.1
PROD-042,COMP-009,2,v3.0
PROD-042,COMP-028,1,v1.1
PROD-042,COMP-016,3,v3.0
PROD-042,COMP-004,5,v1.0
PROD-042,COMP-003,4,v1.0
PROD-043,COMP-020,8,v2.1
PROD-043,COMP-030,5,v3.0
PROD-043,COMP-026,7,v2.0
PROD-043,COMP-029,10,v3.0
PROD-043,COMP-008,1,v3.0
PROD-043,COMP-025,2,v1.1
PROD-043,COMP-017,4,v2.0
PROD-043,COMP-013,2,v1.1
PROD-044,COMP-006,8,v3.0
PROD-044,COMP-018,8,v2.0
PROD-044,COMP-003,1,v1.1
PROD-044,COMP-030,5,v2.0
PROD-044,COMP-001,8,v1.0
PROD-044,COMP-014,4,v2.0
PROD-045,COMP-014,5,v1.1
PROD-045,COMP-004,2,v1.0
PROD-045,COMP-018,3,v2.0
PROD-045,COMP-008,10,v3.0
PROD-045,COMP-021,5,v2.1
PROD-045,COMP-005,2,v2.1
PROD-046,COMP-023,2,v3.0
PROD-046,COMP-013,1,v2.1
PROD-046,COMP-009,6,v3.0
PROD-046,COMP-017,5,v1.0
PROD-046,COMP-018,2,v1.1
PROD-046,COMP-016,10,v3.0
PROD-046,COMP-015,1,v2.0
PROD-047,COMP-025,8,v2.0
PROD-047,COMP-006,3,v3.0
PROD-047,COMP-016,7,v2.1
PROD-047,COMP-017,2,v2.1
PROD-047,COMP-021,6,v2.1
PROD-048,COMP-011,8,v2.0
PROD-048,COMP-022,7,v3.0
PROD-048,COMP-004,1,v2.1
PROD-048,COMP-006,2,v2.0
PROD-048,COMP-030,5,v2.0
PROD-048,COMP-014,2,v2.1
PROD-048,COMP-023,9,v1.0
PROD-049,COMP-014,8,v1.0
PROD-049,COMP-002,4,v2.0
PROD-049,COMP-007,9,v1.1
PROD-049,COMP-017,5,v2.1
PROD-049,COMP-012,8,v1.0
PROD-049,COMP-020,1,v3.0
PROD-049,COMP-016,4,v1.1
PROD-049,COMP-021,5,v3.0
PROD-050,COMP-018,2,v2.1
PROD-050,COMP-014,2,v1.1
PROD-050,COMP-003,8,v2.0
PROD-050,COMP-008,9,v2.0
PROD-050,COMP-027,7,v2.1
PROD-051,COMP-008,3,v1.0
PROD-051,COMP-015,5,v2.1
PROD-051,COMP-018,6,v3.0
PROD-051,COMP-005,5,v1.0
PROD-051,COMP-013,5,v2.0
PROD-051,COMP-007,10,v3.0
PROD-051,COMP-020,8,v1.1
PROD-051,COMP-017,8,v3.0
PROD-052,COMP-012,4,v1.1
PROD-052,COMP-011,10,v2.1
PROD-052,COMP-018,4,v2.1
PROD-052,COMP-025,1,v2.0
PROD-052,COMP-028,8,v2.1
PROD-052,COMP-013,7,v1.1
PROD-052,COMP-015,8,v1.0
PROD-052,COMP-029,3,v3.0
PROD-053,COMP-028,1,v1.1
PROD-053,COMP-004,7,v1.1
PROD-053,COMP-030,2,v2.1
PROD-053,COMP-015,5,v2.0
PROD-053,COMP-029,10,v2.1
PROD-053,COMP-017,2,v2.0
PROD-053,COMP-027,9,v2.1
PROD-054,COMP-021,2,v1.1
PROD-054,COMP-023,5,v1.1
PROD-054,COMP-025,2,v2.1
PROD-054,COMP-016,2,v1.0
PROD-054,COMP-018,8,v1.1
PROD-054,COMP-002,5,v1.0
PROD-054,COMP-020,1,v2.0
PROD-055,COMP-010,9,v2.1
PROD-055,COMP-012,10,v1.1
PROD-055,COMP-014,3,v1.1
PROD-055,COMP-005,2,v3.0
PROD-055,COMP-008,7,v3.0
PROD-056,COMP-016,5,v2.1
PROD-056,COMP-019,5,v1.0
PROD-056,COMP-005,8,v2.0
PROD-056,COMP-008,9,v1.1
PROD-056,COMP-015,2,v2.1
PROD-056,COMP-021,6,v3.0
PROD-057,COMP-021,7,v2.1
PROD-057,COMP-014,2,v1.1
PROD-057,COMP-023,7,v3.0
PROD-057,COMP-009,6,v3.0
PROD-057,COMP-015,5,v2.0
PROD-057,COMP-010,1,v2.1
PROD-057,COMP-007,5,v1.0
PROD-058,COMP-030,5,v1.1
PROD-058,COMP-020,10,v2.0
PROD-058,COMP-024,4,v1.1
PROD-058,COMP-016,10,v2.0
PROD-058,COMP-027,3,v1.0
PROD-059,COMP-010,6,v1.1
PROD-059,COMP-026,2,v2.0
PROD-059,COMP-015,6,v2.1
PROD-059,COMP-002,3,v1.1
PROD-059,COMP-019,3,v3.0
PROD-060,COMP-017,5,v2.0
PROD-060,COMP-030,2,v2.1
PROD-060,COMP-009,2,v1.1
PROD-060,COMP-027,4,v2.1
PROD-060,COMP-006,9,v2.0
PROD-060,COMP-028,2,v2.1
PROD-060,COMP-016,1,v2.0
PROD-061,COMP-015,10,v2.1
PROD-061,COMP-012,6,v1.0
PROD-061,COMP-022,4,v2.1
PROD-061,COMP-024,1,v3.0
PROD-061,COMP-009,9,v2.0
PROD-062,COMP-021,5,v2.1
PROD-062,COMP-003,2,v1.1
PROD-062,COMP-030,1,v1.0
PROD-062,COMP-027,5,v2.1
PROD-062,COMP-015,2,v1.0
PROD-062,COMP-023,4,v3.0
PROD-063,COMP-013,9,v2.1
PROD-063,COMP-015,10,v1.1
PROD-063,COMP-012,7,v1.0
PROD-063,COMP-022,8,v3.0
PROD-063,COMP-024,7,v2.0
PROD-063,COMP-023,1,v2.0
PROD-064,COMP-015,6,v3.0
PROD-064,COMP-030,6,v1.0
PROD-064,COMP-008,7,v2.0
PROD-064,COMP-012,4,v1.0
PROD-064,COMP-004,8,v1.0
PROD-064,COMP-022,4,v3.0
PROD-065,COMP-002,10,v1.1
PROD-065,COMP-026,2,v3.0
PROD-065,COMP-011,4,v3.0
PROD-065,COMP-008,4,v1.1
PROD-065,COMP-005,6,v1.1
PROD-066,COMP-009,3,v1.0
PROD-066,COMP-028,1,v1.1
PROD-066,COMP-005,1,v2.0
PROD-066,COMP-018,4,v3.0
PROD-066,COMP-026,6,v1.0
PROD-067,COMP-009,2,v1.0
PROD-067,COMP-002,8,v2.1
PROD-067,COMP-005,6,v3.0
PROD-067,COMP-024,10,v1.0
PROD-067,COMP-014,8,v3.0
PROD-067,COMP-017,4,v3.0
PROD-068,COMP-024,9,v2.0
PROD-068,COMP-026,8,v1.0
PROD-068,COMP-030,1,v2.1
PROD-068,COMP-028,7,v2.1
PROD-068,COMP-022,2,v2.1
PROD-069,COMP-003,5,v3.0
PROD-069,COMP-029,10,v3.0
PROD-069,COMP-030,6,v2.1
PROD-069,COMP-011,10,v3.0
PROD-069,COMP-020,5,v2.1
PROD-069,COMP-005,9,v3.0
PROD-069,COMP-028,7,v1.0
PROD-069,COMP-025,2,v3.0
PROD-070,COMP-014,7,v2.1
PROD-070,COMP-015,2,v2.0
PROD-070,COMP-008,7,v2.0
PROD-070,COMP-030,5,v2.0
PROD-070,COMP-011,3,v2.1
PROD-070,COMP-029,2,v1.0
PROD-071,COMP-003,3,v3.0
PROD-071,COMP-014,1,v3.0
PROD-071,COMP-004,9,v3.0
PROD-071,COMP-024,6,v1.0
PROD-071,COMP-012,7,v2.0
PROD-072,COMP-028,10,v3.0
PROD-072,COMP-024,4,v1.1
PROD-072,COMP-002,8,v1.1
PROD-072,COMP-010,2,v2.0
PROD-072,COMP-020,9,v2.0
PROD-072,COMP-027,2,v2.0
PROD-072,COMP-012,10,v1.1
PROD-072,COMP-004,7,v3.0
PROD-073,COMP-020,5,v1.0
PROD-073,COMP-030,3,v2.0
PROD-073,COMP-022,5,v2.0
PROD-073,COMP-027,6,v1.0
PROD-073,COMP-023,3,v1.1
PROD-074,COMP-003,4,v2.1
PROD-074,COMP-005,7,v2.1
PROD-074,COMP-024,6,v1.1
PROD-074,COMP-021,6,v2.0
PROD-074,COMP-001,6,v3.0
PROD-074,COMP-030,10,v1.0
PROD-074,COMP-028,1,v1.1
PROD-074,COMP-017,3,v3.0
PROD-075,COMP-022,8,v3.0
PROD-075,COMP-003,8,v2.1
PROD-075,COMP-009,5,v1.1
PROD-075,COMP-015,9,v1.0
PROD-075,COMP-014,6,v2.1
PROD-076,COMP-010,5,v1.0
PROD-076,COMP-022,4,v2.1
PROD-076,COMP-019,10,v1.0
PROD-076,COMP-016,1,v1.1
PROD-076,COMP-017,5,v1.1
PROD-077,COMP-025,8,v2.1
PROD-077,COMP-009,3,v1.1
PROD-077,COMP-010,7,v3.0
PROD-077,COMP-011,4,v3.0
PROD-077,COMP-004,9,v2.0
PROD-077,COMP-001,2,v2.1
PROD-078,COMP-014,6,v3.0
PROD-078,COMP-001,7,v3.0
PROD-078,COMP-015,7,v2.1
PROD-078,COMP-030,5,v1.0
PROD-078,COMP-003,7,v1.0
PROD-079,COMP-006,7,v1.0
PROD-079,COMP-026,4,v2.1
PROD-079,COMP-020,10,v2.1
PROD-079,COMP-015,9,v1.0
PROD-079,COMP-023,7,v2.0
PROD-079,COMP-012,6,v1.1
PROD-079,COMP-003,6,v1.1
PROD-080,COMP-017,6,v2.0
PROD-080,COMP-021,3,v1.1
PROD-080,COMP-004,2,v1.1
PROD-080,COMP-007,5,v1.1
PROD-080,COMP-029,3,v3.0
PROD-081,COMP-025,8,v2.1
PROD-081,COMP-030,10,v3.0
PROD-081,COMP-021,8,v3.0
PROD-081,COMP-003,10,v2.0
PROD-081,COMP-006,6,v1.1
PROD-081,COMP-029,8,v1.0
PROD-082,COMP-015,9,v1.0
PROD-082,COMP-021,5,v2.1
PROD-082,COMP-010,8,v1.0
PROD-082,COMP-026,1,v2.0
PROD-082,COMP-009,5,v1.0
PROD-082,COMP-019,2,v3.0
PROD-082,COMP-002,10,v3.0
PROD-082,COMP-012,7,v2.1
PROD-083,COMP-015,4,v2.0
PROD-083,COMP-030,10,v2.1
PROD-083,COMP-026,9,v1.1
PROD-083,COMP-019,1,v2.1
PROD-083,COMP-021,2,v2.0
PROD-084,COMP-017,8,v2.1
PROD-084,COMP-021,9,v3.0
PROD-084,COMP-006,10,v1.1
PROD-084,COMP-002,6,v2.0
PROD-084,COMP-008,5,v2.1
PROD-085,COMP-025,2,v2.0
PROD-085,COMP-011,2,v3.0
PROD-085,COMP-022,7,v2.0
PROD-085,COMP-020,5,v3.0
PROD-085,COMP-002,3,v2.0
PROD-085,COMP-021,2,v3.0
PROD-085,COMP-030,3,v2.0
PROD-085,COMP-029,5,v2.1
PROD-086,COMP-020,6,v1.1
PROD-086,COMP-023,9,v1.0
PROD-086,COMP-003,7,v3.0
PROD-086,COMP-010,6,v1.0
PROD-086,COMP-018,6,v2.0
PROD-086,COMP-013,3,v1.1
PROD-087,COMP-025,5,v1.0
PROD-087,COMP-016,9,v3.0
PROD-087,COMP-007,9,v1.0
PROD-087,COMP-008,6,v3.0
PROD-087,COMP-005,3,v3.0
PROD-087,COMP-026,7,v1.1
PROD-087,COMP-003,3,v1.1
PROD-088,COMP-024,4,v2.1
PROD-088,COMP-015,10,v2.0
PROD-088,COMP-002,8,v1.1
PROD-088,COMP-014,9,v1.1
PROD-088,COMP-012,5,v2.1
PROD-088,COMP-022,4,v2.0
PROD-089,COMP-015,3,v1.1
PROD-089,COMP-025,10,v1.1
PROD-089,COMP-010,5,v1.0
PROD-089,COMP-029,8,v2.0
PROD-089,COMP-013,9,v1.0
PROD-089,COMP-017,9,v1.0
PROD-089,COMP-027,5,v1.0
PROD-089,COMP-014,3,v2.0
PROD-090,COMP-029,6,v1.0
PROD-090,COMP-017,7,v1.0
PROD-090,COMP-005,7,v3.0
PROD-090,COMP-027,6,v1.1
PROD-090,COMP-014,7,v1.0
PROD-090,COMP-003,6,v1.1
PROD-090,COMP-008,1,v2.0
PROD-090,COMP-015,2,v2.0
PROD-091,COMP-005,3,v2.1
PROD-091,COMP-002,8,v3.0
PROD-091,COMP-010,1,v1.0
PROD-091,COMP-027,1,v2.0
PROD-091,COMP-016,4,v1.1
PROD-091,COMP-023,9,v3.0
PROD-092,COMP-004,7,v3.0
PROD-092,COMP-025,8,v1.0
PROD-092,COMP-010,2,v2.1
PROD-092,COMP-008,10,v3.0
PROD-092,COMP-028,1,v3.0
PROD-092,COMP-030,10,v1.1
PROD-092,COMP-002,3,v2.0
PROD-092,COMP-027,7,v1.0
PROD-093,COMP-008,9,v2.0
PROD-093,COMP-019,2,v3.0
PROD-093,COMP-014,9,v3.0
PROD-093,COMP-006,9,v3.0
PROD-093,COMP-022,1,v2.1
PROD-093,COMP-026,8,v1.0
PROD-093,COMP-003,7,v2.0
PROD-094,COMP-024,2,v3.0
PROD-094,COMP-001,6,v1.1
PROD-094,COMP-012,1,v2.0
PROD-094,COMP-026,9,v2.0
PROD-094,COMP-003,3,v2.1
PROD-094,COMP-028,8,v1.1
PROD-094,COMP-008,3,v1.0
PROD-095,COMP-002,5,v3.0
PROD-095,COMP-010,7,v3.0
PROD-095,COMP-007,8,v2.0
PROD-095,COMP-030,1,v1.1
PROD-095,COMP-026,5,v2.0
PROD-095,COMP-028,1,v2.0
PROD-095,COMP-027,5,v1.0
PROD-095,COMP-011,6,v2.1
PROD-096,COMP-024,6,v3.0
PROD-096,COMP-015,5,v1.0
PROD-096,COMP-013,7,v1.0
PROD-096,COMP-011,7,v3.0
PROD-096,COMP-006,3,v3.0
PROD-096,COMP-016,5,v2.0
PROD-096,COMP-023,2,v1.0
PROD-096,COMP-025,6,v2.0
PROD-097,COMP-015,6,v2.1
PROD-097,COMP-020,1,v2.0
PROD-097,COMP-023,10,v2.1
PROD-097,COMP-014,5,v1.0
PROD-097,COMP-006,2,v2.1
PROD-097,COMP-028,6,v3.0
PROD-097,COMP-030,3,v1.0
PROD-098,COMP-028,3,v1.0
PROD-098,COMP-020,4,v2.0
PROD-098,COMP-022,6,v2.1
PROD-098,COMP-026,10,v1.0
PROD-098,COMP-015,10,v1.1
PROD-098,COMP-002,8,v2.0
PROD-099,COMP-015,7,v2.0
PROD-099,COMP-025,5,v1.1
PROD-099,COMP-003,2,v1.0
PROD-099,COMP-019,3,v2.1
PROD-099,COMP-005,9,v2.1
PROD-099,COMP-017,9,v1.0
PROD-099,COMP-012,5,v2.0
PROD-100,COMP-007,2,v2.1
PROD-100,COMP-020,3,v2.1
PROD-100,COMP-010,2,v2.0
PROD-100,COMP-023,6,v1.0
PROD-100,COMP-016,9,v3.0
PROD-100,COMP-030,5,v2.0
PROD-100,COMP-004,3,v1.1
PROD-100,COMP-005,6,v3.0
