order_id,product_id,start_time,end_time,planned_qty,actual_qty
ORD-0023,PROD-023,2026-05-17 17:01:57,2026-05-17 18:01:57,364,346
ORD-0024,PROD-024,2026-05-02 02:32:24,2026-05-02 04:32:24,324,309
ORD-0025,PROD-025,2026-04-17 13:36:14,2026-04-17 20:36:14,490,474
ORD-0026,PROD-026,2026-06-18 20:06:47,2026-06-18 21:06:47,441,424
ORD-0027,PROD-027,2026-05-06 23:40:37,2026-05-07 01:40:37,178,166
ORD-0028,PROD-028,2025-11-21 09:33:45,2025-11-21 15:33:45,438,424
ORD-0029,PROD-029,2026-04-04 15:51:16,2026-04-04 20:51:16,173,169
ORD-0030,PROD-030,2026-02-14 18:24:51,2026-02-14 22:24:51,147,128
ORD-0031,PROD-031,2025-10-24 09:33:37,2025-10-24 16:33:37,241,229
ORD-0032,PROD-032,2025-11-14 11:15:12,2025-11-14 15:15:12,121,120
ORD-0033,PROD-033,2025-11-27 02:03:24,2025-11-27 07:03:24,106,102
ORD-0034,PROD-034,2026-03-15 11:16:23,2026-03-15 15:16:23,314,296
ORD-0035,PROD-035,2025-12-04 15:44:32,2025-12-04 19:44:32,313,309
ORD-0036,PROD-036,2025-11-06 01:26:28,2025-11-06 08:26:28,380,362
ORD-0037,PROD-037,2025-12-04 07:29:50,2025-12-04 12:29:50,207,207
ORD-0038,PROD-038,2026-06-06 05:23:37,2026-06-06 07:23:37,183,182
ORD-0039,PROD-039,2025-11-30 23:14:32,2025-12-01 04:14:32,472,457
ORD-0040,PROD-040,2026-05-11 11:40:53,2026-05-11 13:40:53,212,198
ORD-0041,PROD-041,2025-10-30 05:29:51,2025-10-30 08:29:51,444,429
ORD-0042,PROD-042,2026-05-05 19:01:51,2026-05-05 21:01:51,140,126
ORD-0043,PROD-043,2026-05-11 12:29:43,2026-05-11 18:29:43,415,404
ORD-0044,PROD-044,2026-02-16 15:22:03,2026-02-16 23:22:03,232,214
ORD-0045,PROD-045,2025-12-11 20:33:45,2025-12-12 02:33:45,423,413
ORD-0046,PROD-046,2026-02-13 01:37:14,2026-02-13 04:37:14,441,423
ORD-0047,PROD-047,2025-12-24 04:36:35,2025-12-24 09:36:35,404,397
ORD-0048,PROD-048,2026-03-16 09:39:05,2026-03-16 13:39:05,111,98
ORD-0049,PROD-049,2026-08-08 08:14:48,2026-08-08 16:14:48,239,229
ORD-0050,PROD-050,2026-08-08 15:33:49,2026-08-08 20:33:49,355,343
ORD-0051,PROD-051,2026-06-15 15:14:37,2026-06-15 16:14:37,402,393
ORD-0052,PROD-052,2026-05-17 23:55:41,2026-05-18 04:55:41,154,150
ORD-0053,PROD-053,2025-11-24 22:20:15,2025-11-25 02:20:15,212,205
ORD-0054,PROD-054,2025-11-30 11:55:12,2025-11-30 19:55:12,178,175
ORD-0055,PROD-055,2025-09-27 01:28:39,2025-09-27 07:28:39,311,299
ORD-0056,PROD-056,2026-03-21 10:43:11,2026-03-21 17:43:11,390,380
ORD-0057,PROD-057,2026-04-30 12:06:18,2026-04-30 17:06:18,141,134
ORD-0058,PROD-058,2026-03-09 16:26:04,2026-03-09 19:26:04,419,404
ORD-0059,PROD-059,2026-01-05 04:32:05,2026-01-05 06:32:05,496,486
ORD-0060,PROD-060,2026-07-24 14:37:16,2026-07-24 15:37:16,323,311
ORD-0061,PROD-061,2026-01-10 22:50:15,2026-01-11 05:50:15,178,165
ORD-0062,PROD-062,2026-06-24 13:21:33,2026-06-24 21:21:33,115,105
ORD-0063,PROD-063,2025-12-22 18:25:00,2025-12-23 00:25:00,160,151
ORD-0064,PROD-064,2026-06-06 23:00:37,2026-06-07 03:00:37,349,334
ORD-0065,PROD-065,2026-06-19 05:05:30,2026-06-19 12:05:30,401,395
ORD-0066,PROD-066,2025-10-06 14:47:06,2025-10-06 21:47:06,320,313
ORD-0067,PROD-067,2025-12-01 12:44:36,2025-12-01 17:44:36,224,205
ORD-0068,PROD-068,2025-08-27 01:37:00,2025-08-27 04:37:00,272,267
ORD-0069,PROD-069,2025-11-30 10:26:15,2025-11-30 16:26:15,403,391
ORD-0070,PROD-070,2026-05-15 01:48:28,2026-05-15 03:48:28,151,149
ORD-0071,PROD-071,2025-09-10 10:08:10,2025-09-10 12:08:10,477,477
ORD-0072,PROD-072,2025-12-23 05:52:13,2025-12-23 08:52:13,376,363
ORD-0073,PROD-073,2026-08-04 13:55:21,2026-08-04 21:55:21,147,127
ORD-0074,PROD-074,2026-01-29 12:46:22,2026-01-29 15:46:22,126,126
ORD-0075,PROD-075,2026-04-22 11:37:52,2026-04-22 19:37:52,190,189
ORD-0076,PROD-076,2025-11-18 07:45:34,2025-11-18 10:45:34,249,238
ORD-0077,PROD-077,2026-05-27 23:13:41,2026-05-28 05:13:41,441,423
ORD-0078,PROD-078,2026-02-12 18:52:15,2026-02-12 20:52:15,120,115
ORD-0079,PROD-079,2025-11-01 20:01:48,2025-11-02 01:01:48,269,266
ORD-0080,PROD-080,2025-10-28 04:56:20,2025-10-28 05:56:20,398,396
ORD-0081,PROD-081,2026-06-28 06:35:52,2026-06-28 07:35:52,414,414
ORD-0082,PROD-082,2026-03-07 21:26:19,2026-03-08 01:26:19,187,175
ORD-0083,PROD-083,2025-11-24 00:40:07,2025-11-24 08:40:07,155,147
ORD-0084,PROD-084,2026-08-08 01:56:31,2026-08-08 06:56:31,415,399
ORD-0085,PROD-085,2026-03-16 23:54:58,2026-03-17 01:54:58,413,404
ORD-0086,PROD-086,2026-05-08 02:18:55,2026-05-08 05:18:55,133,119
ORD-0087,PROD-087,2025-11-24 05:13:27,2025-11-24 10:13:27,180,160
ORD-0088,PROD-088,2025-10-03 01:00:19,2025-10-03 03:00:19,354,335
ORD-0089,PROD-089,2025-09-22 03:35:38,2025-09-22 07:35:38,452,443
ORD-0090,PROD-090,2026-04-06 20:03:16,2026-04-06 21:03:16,301,291
ORD-0091,PROD-091,2026-05-25 11:07:58,2026-05-25 14:07:58,455,440
ORD-0092,PROD-092,2026-03-26 15:11:07,2026-03-26 23:11:07,283,267
ORD-0093,PROD-093,2025-11-11 15:47:56,2025-11-11 20:47:56,250,230
ORD-0094,PROD-094,2025-11-12 21:24:04,2025-11-13 04:24:04,314,307
ORD-0095,PROD-095,2025-08-30 10:41:48,2025-08-30 15:41:48,441,431
ORD-0096,PROD-096,2026-04-27 20:50:01,2026-04-28 00:50:01,223,209
ORD-0097,PROD-097,2026-07-28 06:27:24,2026-07-28 09:27:24,460,456
ORD-0098,PROD-098,2026-03-04 23:11:38,2026-03-05 00:11:38,140,139
ORD-0099,PROD-099,2025-11-06 08:56:26,2025-11-06 10:56:26,175,172
ORD-0100,PROD-100,2026-04-15 11:36:10,2026-04-15 19:36:10,164,160
ORD-0101,PROD-089,2025-11-09 03:43:21,2025-11-09 05:43:21,244,234
ORD-0102,PROD-092,2025-08-31 02:46:52,2025-08-31 08:46:52,396,389
ORD-0103,PROD-016,2025-09-18 15:26:28,2025-09-18 23:26:28,322,309
ORD-0104,PROD-061,2026-01-18 05:46:35,2026-01-18 10:46:35,463,457
ORD-0105,PROD-051,2025-12-17 00:05:17,2025-12-17 01:05:17,286,281
ORD-0106,PROD-007,2026-05-16 07:47:25,2026-05-16 11:47:25,276,274
ORD-0107,PROD-024,2026-02-10 04:39:07,2026-02-10 05:39:07,229,217
ORD-0108,PROD-091,2025-09-18 18:40:30,2025-09-19 02:40:30,337,325
ORD-0109,PROD-042,2026-05-02 06:41:53,2026-05-02 12:41:53,330,326
ORD-0110,PROD-097,2026-06-06 01:35:20,2026-06-06 08:35:20,437,427
ORD-0111,PROD-033,2025-10-03 02:48:51,2025-10-03 05:48:51,103,98
ORD-0112,PROD-043,2025-08-12 17:49:23,2025-08-13 00:49:23,147,132
ORD-0113,PROD-031,2026-03-12 11:11:10,2026-03-12 14:11:10,121,117
ORD-0114,PROD-093,2026-08-06 13:21:55,2026-08-06 21:21:55,242,236
ORD-0115,PROD-099,2025-10-11 01:38:46,2025-10-11 04:38:46,313,312
ORD-0116,PROD-092,2026-01-15 18:10:51,2026-01-15 19:10:51,423,412
ORD-0117,PROD-044,2026-04-21 06:55:49,2026-04-21 12:55:49,414,403
ORD-0118,PROD-099,2026-08-08 20:39:33,2026-08-08 21:39:33,153,138
ORD-0119,PROD-043,2026-07-18 17:45:28,2026-07-18 21:45:28,208,204
ORD-0120,PROD-068,2026-07-17 20:48:23,2026-07-18 01:48:23,371,359
ORD-0121,PROD-059,2026-02-11 11:22:14,2026-02-11 15:22:14,322,321
ORD-0122,PROD-006,2026-02-12 03:40:16,2026-02-12 08:40:16,375,361
ORD-0123,PROD-053,2026-04-20 08:59:19,2026-04-20 13:59:19,270,270
ORD-0124,PROD-060,2025-10-27 04:35:34,2025-10-27 06:35:34,342,329
ORD-0125,PROD-029,2026-05-31 07:07:49,2026-05-31 11:07:49,261,243
ORD-0126,PROD-084,2025-11-30 06:50:47,2025-11-30 14:50:47,235,226
ORD-0127,PROD-033,2025-12-13 11:01:42,2025-12-13 12:01:42,217,199
ORD-0128,PROD-068,2025-11-29 13:47:32,2025-11-29 20:47:32,235,235
ORD-0129,PROD-058,2026-04-18 13:44:00,2026-04-18 17:44:00,120,113
ORD-0130,PROD-056,2025-09-02 16:57:49,2025-09-02 20:57:49,303,303
ORD-0131,PROD-069,2026-07-29 08:06:51,2026-07-29 09:06:51,138,130
ORD-0132,PROD-094,2026-06-05 06:33:53,2026-06-05 13:33:53,108,92
ORD-0133,PROD-085,2025-09-14 11:21:46,2025-09-14 16:21:46,493,474
ORD-0134,PROD-028,2026-04-21 01:23:36,2026-04-21 02:23:36,354,336
ORD-0135,PROD-031,2026-03-21 16:50:21,2026-03-21 21:50:21,499,496
ORD-0136,PROD-023,2025-11-08 21:58:39,2025-11-09 04:58:39,387,377
ORD-0137,PROD-011,2026-03-06 13:30:33,2026-03-06 17:30:33,107,94
ORD-0138,PROD-062,2026-05-24 14:35:09,2026-05-24 20:35:09,431,424
ORD-0139,PROD-096,2026-05-18 13:28:25,2026-05-18 14:28:25,150,146
ORD-0140,PROD-086,2026-07-06 23:12:27,2026-07-07 04:12:27,186,177
ORD-0141,PROD-055,2026-08-09 11:55:12,2026-08-09 16:55:12,312,307
ORD-0142,PROD-047,2025-08-25 05:10:24,2025-08-25 09:10:24,473,468
ORD-0143,PROD-040,2026-07-31 09:26:47,2026-07-31 11:26:47,491,482
ORD-0144,PROD-016,2026-08-03 14:15:35,2026-08-03 16:15:35,139,135
ORD-0145,PROD-100,2025-10-17 17:15:02,2025-10-17 18:15:02,222,220
ORD-0146,PROD-098,2026-01-20 00:29:56,2026-01-20 05:29:56,191,188
ORD-0147,PROD-065,2026-07-19 08:38:51,2026-07-19 16:38:51,272,269
ORD-0148,PROD-062,2026-07-02 00:34:19,2026-07-02 08:34:19,361,358
ORD-0149,PROD-012,2025-10-17 23:59:53,2025-10-18 04:59:53,142,131
ORD-0150,PROD-025,2026-08-08 10:19:05,2026-08-08 16:19:05,190,178
ORD-0151,PROD-080,2026-08-02 21:08:46,2026-08-03 02:08:46,471,471
ORD-0152,PROD-019,2025-08-24 20:14:25,2025-08-24 22:14:25,132,127
ORD-0153,PROD-089,2026-07-01 11:30:26,2026-07-01 17:30:26,182,166
ORD-0154,PROD-045,2026-01-11 21:47:10,2026-01-12 01:47:10,345,325
ORD-0155,PROD-097,2026-06-12 17:51:14,2026-06-12 18:51:14,274,262
ORD-0156,PROD-100,2026-02-19 02:50:28,2026-02-19 09:50:28,153,137
ORD-0157,PROD-025,2025-10-22 02:04:43,2025-10-22 09:04:43,208,203
ORD-0158,PROD-096,2026-08-09 11:21:17,2026-08-09 19:21:17,496,478
ORD-0159,PROD-085,2026-05-28 14:44:39,2026-05-28 16:44:39,481,474
ORD-0160,PROD-050,2026-07-15 11:52:01,2026-07-15 19:52:01,385,371
ORD-0161,PROD-026,2026-08-05 08:50:39,2026-08-05 14:50:39,428,417
ORD-0162,PROD-025,2025-12-01 03:33:22,2025-12-01 04:33:22,118,104
ORD-0163,PROD-003,2026-07-17 05:22:02,2026-07-17 06:22:02,392,381
ORD-0164,PROD-054,2025-08-25 06:44:19,2025-08-25 12:44:19,432,422
ORD-0165,PROD-011,2025-08-14 07:54:17,2025-08-14 08:54:17,261,247
ORD-0166,PROD-067,2025-12-04 14:44:44,2025-12-04 17:44:44,149,130
ORD-0167,PROD-061,2026-03-19 07:19:00,2026-03-19 09:19:00,403,399
ORD-0168,PROD-093,2026-04-01 19:52:23,2026-04-02 03:52:23,383,366
ORD-0169,PROD-005,2025-09-21 09:38:36,2025-09-21 15:38:36,161,142
ORD-0170,PROD-069,2026-08-06 07:21:17,2026-08-06 13:21:17,225,216
ORD-0171,PROD-014,2025-12-18 20:20:50,2025-12-19 03:20:50,250,249
ORD-0172,PROD-090,2025-11-29 05:50:07,2025-11-29 06:50:07,253,249
ORD-0173,PROD-036,2026-02-03 04:22:08,2026-02-03 09:22:08,294,290
ORD-0174,PROD-068,2026-04-16 18:59:36,2026-04-17 00:59:36,310,308
ORD-0175,PROD-040,2026-03-09 17:27:22,2026-03-09 23:27:22,138,123
ORD-0176,PROD-004,2026-03-02 08:31:53,2026-03-02 13:31:53,308,308
ORD-0177,PROD-092,2026-02-18 13:07:33,2026-02-18 18:07:33,267,262
ORD-0178,PROD-078,2026-07-22 02:01:55,2026-07-22 04:01:55,170,154
ORD-0179,PROD-013,2026-08-10 05:32:47,2026-08-10 07:32:47,285,282
ORD-0180,PROD-041,2025-10-01 20:21:45,2025-10-02 01:21:45,493,483
ORD-0181,PROD-028,2026-07-07 05:58:49,2026-07-07 07:58:49,193,175
ORD-0182,PROD-036,2026-02-22 13:07:52,2026-02-22 15:07:52,218,217
ORD-0183,PROD-097,2026-02-08 11:47:54,2026-02-08 16:47:54,489,472
ORD-0184,PROD-074,2025-11-24 16:33:16,2025-11-24 18:33:16,464,447
ORD-0185,PROD-013,2025-10-24 14:39:39,2025-10-24 19:39:39,382,373
ORD-0186,PROD-040,2026-06-20 20:13:13,2026-06-21 03:13:13,485,484
ORD-0187,PROD-035,2025-09-23 11:28:21,2025-09-23 18:28:21,147,137
ORD-0188,PROD-013,2025-12-17 03:43:40,2025-12-17 04:43:40,170,168
ORD-0189,PROD-006,2025-10-12 20:05:05,2025-10-12 21:05:05,154,139
ORD-0190,PROD-070,2026-05-21 16:03:13,2026-05-22 00:03:13,284,272
ORD-0191,PROD-076,2026-02-04 22:55:17,2026-02-05 00:55:17,235,230
ORD-0192,PROD-022,2026-04-19 11:59:09,2026-04-19 15:59:09,141,131
ORD-0193,PROD-090,2025-11-18 15:24:39,2025-11-18 18:24:39,432,414
ORD-0194,PROD-061,2026-05-16 19:20:56,2026-05-16 21:20:56,422,422
ORD-0195,PROD-022,2025-10-22 01:01:47,2025-10-22 05:01:47,473,469
ORD-0196,PROD-088,2025-08-16 04:48:10,2025-08-16 08:48:10,308,308
ORD-0197,PROD-064,2026-05-23 19:18:18,2026-05-24 00:18:18,395,389
ORD-0198,PROD-028,2025-12-19 15:38:30,2025-12-19 19:38:30,130,117
ORD-0199,PROD-038,2026-06-13 20:01:02,2026-06-14 03:01:02,198,182
ORD-0200,PROD-076,2025-12-03 07:21:14,2025-12-03 13:21:14,169,157
ORD-0201,PROD-035,2026-03-19 05:37:59,2026-03-19 12:37:59,396,387
ORD-0202,PROD-091,2026-04-29 15:24:10,2026-04-29 19:24:10,415,412
ORD-0203,PROD-078,2026-05-31 19:54:55,2026-06-01 02:54:55,230,210
ORD-0204,PROD-052,2025-10-24 17:55:20,2025-10-25 01:55:20,100,97
ORD-0205,PROD-089,2025-10-17 21:15:35,2025-10-18 01:15:35,482,474
ORD-0206,PROD-083,2026-04-05 00:02:14,2026-04-05 03:02:14,395,390
ORD-0207,PROD-017,2026-07-09 05:23:32,2026-07-09 07:23:32,443,436
ORD-0208,PROD-096,2026-04-15 18:53:04,2026-04-15 19:53:04,218,211
ORD-0209,PROD-088,2026-07-25 02:34:23,2026-07-25 03:34:23,474,472
ORD-0210,PROD-036,2026-01-15 04:58:22,2026-01-15 11:58:22,168,162
ORD-0211,PROD-084,2026-06-27 21:37:56,2026-06-27 23:37:56,394,394
ORD-0212,PROD-090,2026-01-23 20:00:42,2026-01-24 00:00:42,467,464
ORD-0213,PROD-044,2026-02-26 20:17:32,2026-02-26 21:17:32,311,308
ORD-0214,PROD-019,2025-12-16 02:01:35,2025-12-16 06:01:35,328,324
ORD-0215,PROD-053,2025-09-13 09:58:59,2025-09-13 11:58:59,288,278
ORD-0216,PROD-088,2026-01-13 09:33:54,2026-01-13 16:33:54,437,421
ORD-0217,PROD-082,2026-04-27 15:26:43,2026-04-27 20:26:43,327,321
ORD-0218,PROD-046,2025-09-16 18:34:56,2025-09-16 21:34:56,205,193
ORD-0219,PROD-063,2025-10-21 11:48:51,2025-10-21 15:48:51,440,433
ORD-0220,PROD-007,2025-10-04 08:07:34,2025-10-04 16:07:34,240,227
ORD-0221,PROD-060,2026-02-12 03:43:24,2026-02-12 08:43:24,101,88
ORD-0222,PROD-096,2025-12-14 09:42:53,2025-12-14 12:42:53,131,130
ORD-0223,PROD-027,2026-08-09 04:03:12,2026-08-09 12:03:12,368,359
ORD-0224,PROD-019,2025-11-15 01:29:42,2025-11-15 08:29:42,156,147
ORD-0225,PROD-055,2025-08-13 09:11:23,2025-08-13 14:11:23,243,238
ORD-0226,PROD-009,2025-11-20 00:13:24,2025-11-20 01:13:24,342,326
ORD-0227,PROD-083,2026-01-06 16:42:03,2026-01-07 00:42:03,278,269
ORD-0228,PROD-089,2025-11-10 04:44:44,2025-11-10 08:44:44,330,324
ORD-0229,PROD-035,2026-01-31 05:24:19,2026-01-31 10:24:19,344,332
ORD-0230,PROD-057,2026-05-30 11:02:59,2026-05-30 14:02:59,345,338
ORD-0231,PROD-083,2025-11-22 10:05:45,2025-11-22 13:05:45,108,101
ORD-0232,PROD-071,2025-12-16 17:51:32,2025-12-17 01:51:32,296,289
ORD-0233,PROD-093,2025-12-05 23:52:04,2025-12-06 02:52:04,156,148
ORD-0234,PROD-089,2026-03-24 22:27:22,2026-03-25 04:27:22,367,359
ORD-0235,PROD-040,2026-05-18 11:16:55,2026-05-18 13:16:55,239,223
ORD-0236,PROD-073,2026-03-21 05:07:57,2026-03-21 12:07:57,110,108
ORD-0237,PROD-033,2025-08-15 04:07:02,2025-08-15 06:07:02,223,214
ORD-0238,PROD-079,2025-11-20 07:22:50,2025-11-20 11:22:50,487,470
ORD-0239,PROD-068,2026-04-21 14:17:57,2026-04-21 17:17:57,421,406
ORD-0240,PROD-042,2025-12-28 08:47:49,2025-12-28 09:47:49,176,176
ORD-0241,PROD-001,2026-05-06 18:35:59,2026-05-07 01:35:59,390,380
ORD-0242,PROD-014,2025-11-10 12:01:41,2025-11-10 20:01:41,199,194
ORD-0243,PROD-033,2025-09-03 20:34:09,2025-09-04 01:34:09,469,456
ORD-0244,PROD-081,2026-04-27 01:44:46,2026-04-27 06:44:46,400,394
ORD-0245,PROD-073,2025-09-25 15:27:50,2025-09-25 22:27:50,442,423
ORD-0246,PROD-061,2026-02-07 11:19:27,2026-02-07 17:19:27,149,137
ORD-0247,PROD-006,2025-12-07 21:10:15,2025-12-08 01:10:15,225,215
ORD-0248,PROD-098,2025-10-11 18:11:50,2025-10-12 00:11:50,282,267
ORD-0249,PROD-064,2026-01-15 04:17:07,2026-01-15 08:17:07,372,362
ORD-0250,PROD-003,2026-05-04 04:11:53,2026-05-04 08:11:53,320,303
ORD-0251,PROD-018,2026-02-21 21:21:31,2026-02-21 23:21:31,152,134
ORD-0252,PROD-027,2026-08-04 05:30:00,2026-08-04 09:30:00,310,309
ORD-0253,PROD-095,2026-07-24 08:38:11,2026-07-24 16:38:11,311,294
ORD-0254,PROD-057,2026-07-21 12:26:15,2026-07-21 14:26:15,152,135
ORD-0255,PROD-028,2026-05-10 23:09:19,2026-05-11 02:09:19,213,207
ORD-0256,PROD-033,2026-06-05 16:58:02,2026-06-05 22:58:02,149,148
ORD-0257,PROD-016,2025-12-09 12:03:11,2025-12-09 13:03:11,400,387
ORD-0258,PROD-058,2026-05-05 19:30:04,2026-05-06 00:30:04,429,411
ORD-0259,PROD-031,2025-09-25 07:55:21,2025-09-25 11:55:21,147,137
ORD-0260,PROD-077,2026-04-15 18:44:58,2026-04-15 20:44:58,147,139
ORD-0261,PROD-089,2026-08-01 12:28:57,2026-08-01 16:28:57,122,107
ORD-0262,PROD-085,2025-12-03 07:28:42,2025-12-03 12:28:42,377,372
ORD-0263,PROD-053,2025-12-31 11:17:09,2025-12-31 12:17:09,350,344
ORD-0264,PROD-065,2026-04-06 10:15:10,2026-04-06 16:15:10,151,149
ORD-0265,PROD-001,2025-11-04 11:59:33,2025-11-04 15:59:33,394,386
ORD-0266,PROD-046,2025-11-03 19:57:18,2025-11-04 02:57:18,456,445
ORD-0267,PROD-004,2025-10-01 14:28:47,2025-10-01 22:28:47,384,379
ORD-0268,PROD-003,2026-02-12 10:30:25,2026-02-12 12:30:25,421,403
ORD-0269,PROD-021,2025-10-09 05:19:17,2025-10-09 10:19:17,198,193
ORD-0270,PROD-094,2026-02-03 10:14:13,2026-02-03 14:14:13,477,476
ORD-0271,PROD-026,2026-05-28 02:55:20,2026-05-28 05:55:20,200,194
ORD-0272,PROD-008,2026-04-02 23:25:29,2026-04-03 02:25:29,251,237
ORD-0273,PROD-018,2026-01-02 19:57:52,2026-01-03 03:57:52,215,196
ORD-0274,PROD-047,2026-01-19 05:29:26,2026-01-19 06:29:26,160,154
ORD-0275,PROD-020,2026-05-10 08:05:25,2026-05-10 13:05:25,451,438
ORD-0276,PROD-049,2026-03-12 00:45:54,2026-03-12 02:45:54,181,166
ORD-0277,PROD-005,2026-07-31 05:24:44,2026-07-31 06:24:44,187,176
ORD-0278,PROD-014,2026-02-09 13:57:51,2026-02-09 16:57:51,450,437
ORD-0279,PROD-028,2026-05-31 20:32:49,2026-05-31 22:32:49,491,486
ORD-0280,PROD-014,2026-03-07 11:33:23,2026-03-07 13:33:23,178,165
ORD-0281,PROD-035,2026-06-18 04:39:49,2026-06-18 11:39:49,217,212
ORD-0282,PROD-077,2026-04-25 15:20:14,2026-04-25 21:20:14,331,326
ORD-0283,PROD-023,2026-06-27 08:42:39,2026-06-27 12:42:39,329,316
ORD-0284,PROD-034,2025-11-03 13:16:20,2025-11-03 21:16:20,242,232
ORD-0285,PROD-026,2026-06-02 14:34:29,2026-06-02 18:34:29,475,475
ORD-0286,PROD-099,2025-11-14 20:04:24,2025-11-15 03:04:24,251,239
ORD-0287,PROD-015,2026-05-01 22:46:29,2026-05-02 06:46:29,146,128
ORD-0288,PROD-095,2026-05-30 20:12:39,2026-05-30 23:12:39,127,120
ORD-0289,PROD-051,2026-03-30 02:55:18,2026-03-30 04:55:18,386,371
ORD-0290,PROD-024,2026-07-15 19:44:13,2026-07-15 22:44:13,127,111
ORD-0291,PROD-007,2026-06-12 12:21:19,2026-06-12 16:21:19,164,157
ORD-0292,PROD-071,2025-09-11 12:36:54,2025-09-11 14:36:54,223,206
ORD-0293,PROD-069,2026-03-02 19:36:20,2026-03-02 21:36:20,273,257
ORD-0294,PROD-043,2026-01-31 05:31:17,2026-01-31 07:31:17,232,224
ORD-0295,PROD-055,2026-03-03 20:27:32,2026-03-03 23:27:32,191,190
ORD-0296,PROD-029,2026-05-11 01:06:15,2026-05-11 09:06:15,205,201
ORD-0297,PROD-080,2025-12-29 05:36:28,2025-12-29 07:36:28,365,361
ORD-0298,PROD-093,2025-09-10 01:29:55,2025-09-10 09:29:55,136,123
ORD-0299,PROD-059,2026-08-01 22:52:08,2026-08-02 00:52:08,477,467
ORD-0300,PROD-044,2026-03-17 19:57:44,2026-03-17 22:57:44,448,440
ORD-0301,PROD-100,2025-09-23 07:23:25,2025-09-23 08:23:25,116,116
ORD-0302,PROD-093,2025-09-03 17:09:19,2025-09-03 18:09:19,496,496
ORD-0303,PROD-022,2026-06-28 14:15:45,2026-06-28 15:15:45,142,132
ORD-0304,PROD-062,2026-03-11 09:59:22,2026-03-11 11:59:22,142,136
ORD-0305,PROD-083,2026-07-27 09:03:22,2026-07-27 11:03:22,324,307
ORD-0306,PROD-096,2026-02-23 01:00:34,2026-02-23 07:00:34,129,109
ORD-0307,PROD-046,2025-10-28 05:45:58,2025-10-28 06:45:58,468,464
ORD-0308,PROD-065,2026-03-21 03:29:42,2026-03-21 09:29:42,294,291
ORD-0309,PROD-034,2026-03-07 03:33:49,2026-03-07 08:33:49,485,476
ORD-0310,PROD-019,2025-10-07 22:15:14,2025-10-08 01:15:14,143,126
ORD-0311,PROD-067,2025-10-13 15:07:33,2025-10-13 23:07:33,247,232
ORD-0312,PROD-098,2025-12-16 03:48:23,2025-12-16 05:48:23,177,172
ORD-0313,PROD-006,2026-07-08 13:54:55,2026-07-08 18:54:55,356,337
ORD-0314,PROD-006,2026-02-28 19:27:47,2026-03-01 01:27:47,294,279
ORD-0315,PROD-006,2026-01-29 07:46:51,2026-01-29 14:46:51,339,339
ORD-0316,PROD-032,2025-09-24 20:57:50,2025-09-24 21:57:50,101,93
ORD-0317,PROD-044,2026-05-01 22:20:23,2026-05-02 05:20:23,276,256
ORD-0318,PROD-036,2025-10-29 12:00:33,2025-10-29 14:00:33,285,269
ORD-0319,PROD-073,2026-05-16 03:41:18,2026-05-16 06:41:18,307,295
ORD-0320,PROD-020,2026-03-25 04:51:32,2026-03-25 06:51:32,220,207
ORD-0321,PROD-042,2026-02-16 13:44:07,2026-02-16 18:44:07,361,354
ORD-0322,PROD-047,2025-09-15 01:09:58,2025-09-15 07:09:58,438,437
ORD-0323,PROD-049,2026-07-25 19:47:04,2026-07-26 00:47:04,187,169
ORD-0324,PROD-081,2026-02-24 22:34:18,2026-02-24 23:34:18,382,381
