"change_id","product_id","request_date","downtime_events_before","downtime_minutes_before","downtime_events_after","downtime_minutes_after","downtime_trend","downtime_change_percent"
"ECN-011","PROD-088","2025-03-04",0,0.00,0,0.00,"No Change",NULL
"ECN-075","PROD-057","2025-03-04",0,0.00,0,0.00,"No Change",NULL
"ECN-028","PROD-070","2025-03-02",0,0.00,0,0.00,"No Change",NULL
"ECN-144","PROD-059","2025-03-02",0,0.00,0,0.00,"No Change",NULL
"ECN-088","PROD-045","2025-03-01",0,0.00,0,0.00,"No Change",NULL
"ECN-034","PROD-092","2025-03-01",0,0.00,0,0.00,"No Change",NULL
"ECN-064","PROD-079","2025-02-20",0,0.00,0,0.00,"No Change",NULL
"ECN-030","PROD-088","2025-02-16",0,0.00,0,0.00,"No Change",NULL
"ECN-126","PROD-074","2025-02-12",0,0.00,0,0.00,"No Change",NULL
"ECN-124","PROD-031","2025-02-10",0,0.00,0,0.00,"No Change",NULL
"ECN-005","PROD-071","2025-02-02",0,0.00,0,0.00,"No Change",NULL
"ECN-042","PROD-093","2025-01-26",0,0.00,0,0.00,"No Change",NULL
"ECN-019","PROD-071","2025-01-21",0,0.00,0,0.00,"No Change",NULL
"ECN-149","PROD-006","2025-01-20",0,0.00,0,0.00,"No Change",NULL
"ECN-013","PROD-017","2025-01-19",0,0.00,0,0.00,"No Change",NULL
"ECN-102","PROD-061","2025-01-10",0,0.00,0,0.00,"No Change",NULL
"ECN-091","PROD-019","2024-12-25",0,0.00,0,0.00,"No Change",NULL
"ECN-053","PROD-073","2024-12-11",0,0.00,0,0.00,"No Change",NULL
"ECN-082","PROD-069","2024-12-09",0,0.00,0,0.00,"No Change",NULL
"ECN-051","PROD-034","2024-12-05",0,0.00,0,0.00,"No Change",NULL
"ECN-103","PROD-097","2024-12-05",0,0.00,0,0.00,"No Change",NULL
"ECN-029","PROD-039","2024-11-25",0,0.00,0,0.00,"No Change",NULL
"ECN-139","PROD-071","2024-11-16",0,0.00,0,0.00,"No Change",NULL
"ECN-138","PROD-073","2024-11-14",0,0.00,0,0.00,"No Change",NULL
"ECN-070","PROD-034","2024-11-05",0,0.00,0,0.00,"No Change",NULL
"ECN-079","PROD-067","2024-11-03",0,0.00,0,0.00,"No Change",NULL
"ECN-117","PROD-002","2024-11-03",0,0.00,0,0.00,"No Change",NULL
"ECN-050","PROD-002","2024-11-02",0,0.00,0,0.00,"No Change",NULL
"ECN-130","PROD-082","2024-10-14",0,0.00,0,0.00,"No Change",NULL
"ECN-129","PROD-052","2024-10-09",0,0.00,0,0.00,"No Change",NULL
"ECN-134","PROD-071","2024-10-01",0,0.00,0,0.00,"No Change",NULL
"ECN-012","PROD-100","2024-09-29",0,0.00,0,0.00,"No Change",NULL
"ECN-058","PROD-044","2024-09-27",0,0.00,0,0.00,"No Change",NULL
"ECN-125","PROD-043","2024-09-22",0,0.00,0,0.00,"No Change",NULL
"ECN-048","PROD-037","2024-09-14",0,0.00,0,0.00,"No Change",NULL
"ECN-007","PROD-092","2024-09-02",0,0.00,0,0.00,"No Change",NULL
"ECN-116","PROD-059","2024-08-24",0,0.00,0,0.00,"No Change",NULL
"ECN-067","PROD-048","2024-08-17",0,0.00,0,0.00,"No Change",NULL
"ECN-084","PROD-025","2024-08-11",0,0.00,0,0.00,"No Change",NULL
"ECN-112","PROD-014","2024-08-09",0,0.00,0,0.00,"No Change",NULL
