"product_id","change_id","request_date","defect_before","defect_after"
"PROD-064","ECN-045","2025-08-27",NULL,0.0
"PROD-022","ECN-021","2025-08-31",NULL,0.0
"PROD-092","ECN-092","2025-09-07",0.0,0.0
"PROD-099","ECN-100","2025-09-07",NULL,0.025641025641025644
"PROD-059","ECN-145","2025-09-22",NULL,0.075
"PROD-079","ECN-063","2025-09-23",NULL,0.0
"PROD-088","ECN-136","2025-09-26",0.0,0.0
"PROD-088","ECN-073","2025-09-30",0.0,0.0
"PROD-044","ECN-033","2025-10-01",NULL,0.0
"PROD-027","ECN-142","2025-10-10",NULL,0.0
"PROD-065","ECN-065","2025-10-12",NULL,0.0
"PROD-054","ECN-032","2025-10-19",0.0,0.0
"PROD-016","ECN-128","2025-10-23",0.016129032258064516,0.0
"PROD-039","ECN-015","2025-10-23",NULL,0.0
"PROD-048","ECN-036","2025-11-06",NULL,0.0
"PROD-043","ECN-061","2025-11-14",0.0,0.0
"PROD-013","ECN-057","2025-11-15",0.07142857142857142,0.0
"PROD-071","ECN-101","2025-11-25",0.0,0.0
"PROD-079","ECN-096","2025-12-07",0.0,0.0
"PROD-047","ECN-052","2025-12-09",0.0,0.0
"PROD-092","ECN-099","2025-12-18",0.0,0.0
"PROD-083","ECN-025","2025-12-21",0.0,0.0
"PROD-039","ECN-020","2025-12-31",0.0,NULL
"PROD-020","ECN-140","2026-01-03",NULL,0.0
"PROD-054","ECN-068","2026-01-19",0.0,0.0
"PROD-075","ECN-071","2026-01-20",NULL,0.0
"PROD-089","ECN-087","2026-02-18",0.0,0.0
"PROD-093","ECN-069","2026-02-19",0.0,0.025
"PROD-010","ECN-031","2026-03-10",0.0,NULL
"PROD-045","ECN-035","2026-03-12",0.0,0.0
"PROD-090","ECN-074","2026-03-15",NULL,0.0
"PROD-028","ECN-047","2026-03-19",0.011627906976744186,0.0
"PROD-086","ECN-135","2026-03-22",NULL,0.0
"PROD-012","ECN-105","2026-03-24",0.008771929824561403,NULL
"PROD-068","ECN-137","2026-03-26",0.0064516129032258064,0.0
"PROD-018","ECN-002","2026-03-28",0.041666666666666664,0.0
"PROD-053","ECN-076","2026-03-28",0.0,0.03333333333333333
"PROD-004","ECN-003","2026-04-03",0.0,NULL
"PROD-037","ECN-054","2026-04-16",NULL,NULL
"PROD-018","ECN-122","2026-04-27",0.03125,0.0
"PROD-078","ECN-133","2026-05-04",0.0,0.0
"PROD-012","ECN-006","2026-05-09",0.008771929824561403,NULL
"PROD-086","ECN-121","2026-05-16",0.0,0.0
"PROD-007","ECN-098","2026-05-24",0.006578947368421052,0.0
"PROD-084","ECN-049","2026-06-08",0.0,0.0
"PROD-035","ECN-095","2026-06-16",0.0,0.0
"PROD-087","ECN-146","2026-06-17",0.0,NULL
"PROD-091","ECN-016","2026-06-20",0.0,0.0
"PROD-039","ECN-086","2026-06-20",0.0,NULL
"PROD-047","ECN-127","2026-06-21",0.0,NULL
"PROD-066","ECN-120","2026-06-22",0.0,NULL
"PROD-081","ECN-072","2026-06-27",0.014492753623188406,NULL
"PROD-032","ECN-038","2026-07-07",0.0,NULL
"PROD-057","ECN-093","2026-07-18",0.0,0.0
"PROD-008","ECN-014","2026-07-19",0.0,0.0
"PROD-004","ECN-024","2026-07-20",0.0,NULL
"PROD-002","ECN-111","2026-07-23",0.0,NULL
"PROD-051","ECN-109","2026-07-26",0.027777777777777776,NULL
"PROD-073","ECN-118","2026-07-31",0.03571428571428571,0.0
