timestamp,status,cycle_time_ms,output_count,defect_flag
M04,Running,1967,10,False
M06,Running,1465,3,False
M06,Running,1497,5,False
M05,Running,1858,4,False
M07,Running,2352,4,False
M08,Running,835,2,False
M07,Running,1427,11,False
M08,Running,1504,7,False
M09,Running,2239,8,False
M05,Running,2277,4,False
M09,Maintenance,2213,3,False
M08,Running,2007,13,False
M05,Maintenance,1197,5,False
M03,Running,2250,9,False
M01,Maintenance,1933,5,False
M03,Running,2341,8,False
M01,Running,1761,8,False
M03,Maintenance,1317,14,False
M02,Running,951,10,False
M01,Running,2461,10,False
M02,Maintenance,1042,9,False
M10,Running,2066,4,False
M07,Running,1706,5,False
M07,Running,2071,1,False
M02,Idle,1225,11,False
M02,Running,1155,9,False
M01,Running,2211,10,False
M01,Running,2247,5,False
M08,Running,1278,15,False
M10,Running,1205,7,False
M04,Running,1344,14,False
M01,Running,1429,10,False
M10,Idle,1699,2,False
M05,Running,1357,9,False
M08,Running,881,15,False
M06,Running,852,2,False
M10,Running,842,13,False
M05,Running,2362,13,False
M09,Running,1369,3,False
M07,Running,1807,2,False
M07,Running,2172,2,False
M06,Running,1814,5,False
M07,Idle,1926,1,False
M06,Running,1037,13,False
M09,Idle,802,11,False
M08,Running,1184,9,False
M08,Running,2356,1,False
M09,Running,1389,8,False
M08,Running,2090,10,False
M03,Running,828,9,False
M04,Maintenance,1032,8,False
M03,Running,2267,5,False
M05,Running,1788,8,False
M09,Running,1190,15,False
M03,Idle,1365,13,False
M07,Running,2413,9,False
M01,Running,1411,14,False
M08,Idle,1714,9,False
M06,Running,1912,7,False
M06,Idle,2228,4,False
M04,Idle,1641,1,False
M08,Running,2461,7,False
M03,Running,875,3,False
M10,Running,1005,14,False
M02,Running,1735,1,False
M07,Idle,1116,2,False
M05,Running,2218,7,False
M06,Idle,1892,7,False
M08,Idle,873,10,False
M05,Maintenance,2329,2,False
M02,Running,2241,14,False
M03,Running,859,1,False
M01,Running,1567,7,False
M09,Running,2196,13,False
M03,Running,1583,10,False
M08,Idle,1093,4,False
M05,Running,2165,1,False
M08,Idle,2187,9,False
M08,Idle,2003,5,False
M07,Running,1735,14,False
M07,Idle,1018,4,False
M06,Running,2232,5,True
M07,Running,1959,14,False
M01,Idle,2326,8,False
M05,Running,1271,10,False
M04,Running,2071,5,False
M03,Running,2085,11,True
M08,Running,1547,12,False
M05,Running,1650,3,False
M09,Idle,1549,9,False
M05,Idle,1326,15,False
M08,Maintenance,1404,12,False
M02,Running,954,3,False
M04,Idle,2283,11,False
M09,Running,2419,7,True
M09,Running,1554,11,False
M05,Running,2484,11,False
M02,Running,1765,1,False
M09,Running,2049,4,False
M08,Idle,1418,11,False
M03,Running,876,5,False
M02,Running,1900,3,False
M06,Running,2321,12,False
M07,Running,2288,3,False
M02,Idle,2060,7,False
M05,Running,1558,4,False
M04,Idle,1003,11,False
M06,Running,1365,4,False
M08,Running,1234,11,False
M01,Running,1483,4,False
M10,Running,2499,13,False
M10,Running,1277,6,False
M10,Running,1096,3,False
M03,Running,852,3,True
M04,Running,832,3,False
M03,Running,1877,2,False
M08,Running,1541,9,False
M08,Running,2059,1,False
M09,Running,2117,1,False
M08,Idle,1673,11,False
M08,Running,965,6,False
M02,Running,2078,11,False
M06,Running,2023,9,False
M09,Running,1003,13,False
M09,Running,1240,7,False
M04,Running,2494,8,False
M02,Running,1440,11,False
M03,Running,1771,2,False
M02,Running,997,12,False
M03,Running,2001,9,False
M02,Running,2162,13,False
M01,Maintenance,2029,5,False
M10,Running,1116,11,False
M02,Running,1939,6,False
M05,Running,2453,7,False
M10,Running,2116,9,True
M05,Running,1359,12,False
M06,Running,1171,14,False
M07,Running,2317,11,False
M02,Running,1240,7,False
M06,Running,1438,12,False
M10,Running,907,3,False
M10,Running,967,5,False
M07,Running,1705,7,False
M09,Running,1680,2,False
M10,Running,2166,5,True
M07,Maintenance,912,1,False
M04,Running,2365,5,False
M02,Running,2329,7,False
M07,Running,1271,9,False
M06,Running,2319,1,False
M08,Idle,1441,10,False
M07,Running,1655,5,False
M01,Maintenance,1151,13,False
M08,Idle,1541,2,False
M02,Running,2006,7,False
M07,Idle,2327,6,False
M03,Running,2096,2,False
M04,Idle,1515,6,False
M03,Running,1099,5,False
M10,Running,2354,11,False
M08,Running,1954,13,False
M10,Running,2079,6,False
M06,Running,939,8,False
M05,Running,2011,1,False
M02,Running,1725,1,False
M05,Running,984,10,False
M07,Running,1935,13,False
M01,Running,2458,10,False
M06,Running,1826,3,False
M08,Running,1503,12,False
M03,Running,2249,8,False
M09,Running,1125,6,False
M05,Running,2386,6,False
M01,Running,2125,6,False
M02,Running,1591,5,False
M10,Idle,1482,2,False
M03,Idle,1435,11,False
M07,Running,2251,2,False
M07,Running,1472,14,False
M09,Running,2173,7,False
M01,Running,1169,4,False
M08,Running,1081,3,False
M02,Running,1905,14,False
M09,Running,1489,15,False
M03,Running,1115,3,False
M10,Idle,1139,12,False
M07,Running,2273,4,False
M10,Running,2333,13,False
M09,Running,2456,13,False
M04,Running,1968,8,False
M05,Running,1829,9,False
M03,Idle,2440,10,False
M05,Running,1784,14,False
M02,Running,1856,14,False
M02,Running,1358,8,False
M03,Idle,987,15,False
M08,Idle,854,7,False
M09,Running,1590,2,False
M01,Running,1002,14,False
M06,Running,1081,1,False
M08,Running,1084,13,False
M08,Running,962,1,False
M03,Running,2289,10,False
M02,Running,1286,5,False
M04,Running,2425,10,False
M02,Idle,1823,10,False
M09,Running,2271,3,False
M01,Running,1292,10,False
M02,Running,1538,2,False
M09,Running,1839,9,True
M08,Running,1592,6,False
M01,Running,938,6,False
M02,Running,2305,13,False
M01,Running,1493,14,False
M08,Maintenance,1780,11,False
M03,Running,2389,8,True
M04,Running,1208,15,True
M05,Running,2469,9,False
M01,Running,1191,5,False
M01,Idle,1479,5,False
M06,Running,1619,12,False
M07,Running,1182,8,False
M06,Idle,1863,5,False
M07,Running,2033,14,False
M05,Running,963,6,False
M05,Running,2269,7,False
M08,Running,886,12,False
M06,Running,1690,5,False
M01,Running,2105,7,False
M03,Maintenance,1092,14,False
M08,Running,937,4,False
M06,Running,1961,1,False
M08,Idle,1561,8,False
M10,Running,1551,7,False
M05,Running,1032,1,False
M08,Running,1950,2,False
M05,Running,1239,10,False
M08,Running,1077,14,False
M03,Idle,1711,2,False
M06,Running,2253,2,False
M05,Idle,1122,12,False
M03,Running,1841,4,False
M04,Running,1284,13,False
M06,Running,1555,8,False
M09,Running,976,2,False
M08,Running,2375,7,False
M02,Running,1449,11,False
M08,Running,1505,3,False
M09,Running,1172,13,False
M07,Running,913,14,False
M03,Running,1131,6,False
M04,Running,1862,15,False
M02,Running,2100,9,False
M05,Running,991,9,False
M10,Idle,1115,3,False
M10,Running,1954,1,False
M01,Running,2113,13,False
M04,Running,1653,10,False
M08,Idle,1917,5,False
M05,Running,2448,13,False
M05,Running,2210,1,False
M07,Running,1217,6,False
M06,Idle,1453,12,False
M06,Maintenance,1067,13,False
M09,Running,1295,8,False
M08,Running,998,1,False
M07,Idle,1656,4,False
M03,Idle,1983,12,False
M03,Running,1854,8,False
M05,Running,984,7,False
M04,Running,1522,1,False
M08,Running,2139,11,False
M09,Running,1020,7,False
M05,Running,2364,7,False
M07,Running,1950,4,False
M05,Running,1832,8,False
M05,Idle,2076,11,False
M03,Maintenance,1606,6,False
M06,Running,1548,13,False
M10,Running,1824,1,True
M03,Running,2446,8,False
M03,Running,1855,3,False
M10,Running,1604,10,False
M05,Running,1838,14,False
M08,Running,1413,8,False
M06,Running,1024,7,False
M01,Running,1343,11,False
M10,Running,2277,1,False
M03,Running,2276,10,False
M07,Running,2194,4,True
M02,Running,1703,6,False
M07,Running,1640,9,False
M08,Idle,2306,12,False
M03,Running,1948,6,False
M08,Running,1442,3,False
M09,Running,1525,11,False
M05,Running,1193,4,False
M05,Running,1409,13,False
M04,Running,1801,6,False
M09,Idle,2428,12,False
M02,Running,1912,7,False
M07,Idle,2383,13,False
M01,Running,2262,2,False
M08,Running,2330,8,False
M09,Running,1951,12,False
M02,Running,2001,4,False
M09,Running,1276,1,False
M06,Running,1005,11,False
M01,Maintenance,1123,7,False
M08,Running,1208,13,False
M06,Running,921,15,False
M10,Running,2312,12,False
M01,Idle,1158,7,False
M03,Idle,874,14,False
M08,Running,2333,14,False
M01,Running,1963,10,False
M06,Running,2113,9,False
M03,Idle,1758,5,False
M02,Running,2297,8,False
M03,Running,1490,13,False
M04,Running,2108,15,False
M07,Running,977,7,False
M03,Maintenance,1777,6,False
M01,Running,1282,8,False
M06,Running,2280,10,True
M06,Running,927,11,False
M05,Running,2205,9,False
M05,Running,2108,15,False
M06,Running,1248,3,False
M08,Running,2040,6,False
M09,Idle,2351,9,False
M04,Running,2193,13,False
M02,Running,1881,12,False
M10,Running,2497,9,False
M04,Running,1106,3,False
M09,Running,2193,4,False
M08,Running,1845,8,False
M08,Running,1650,8,False
M09,Running,2452,5,False
M07,Running,806,12,False
M02,Running,1505,12,False
M01,Idle,941,15,False
M05,Running,2374,3,False
M07,Running,1583,8,False
M07,Running,2198,11,False
M03,Running,1512,2,False
M09,Running,1060,12,False
M01,Running,1411,8,False
M09,Running,1576,14,False
M08,Running,1364,4,False
M02,Running,2152,7,False
M01,Running,937,2,False
M08,Running,2240,14,True
M01,Running,1279,9,False
M01,Running,1392,4,False
M10,Running,2024,13,False
M06,Running,1093,11,False
M07,Running,924,9,False
M03,Running,1674,9,False
M06,Idle,2174,7,False
M06,Running,1636,3,False
M03,Running,1769,4,False
M05,Idle,1095,13,False
M01,Running,1653,9,False
M07,Running,1216,6,False
M08,Idle,989,9,False
M04,Running,1572,11,False
M01,Idle,1185,13,False
M09,Running,1227,14,False
M05,Maintenance,831,4,False
M02,Running,2344,8,False
M10,Running,1612,15,False
M06,Running,1579,8,False
M06,Running,1536,9,False
M08,Running,2279,8,False
M06,Idle,1559,6,False
M10,Idle,2318,3,True
M09,Idle,1986,12,False
M03,Running,1271,7,False
M04,Running,2140,11,False
M08,Maintenance,2114,12,False
M03,Running,1521,3,False
M09,Running,1910,11,False
M09,Running,952,14,False
M01,Running,2091,4,False
M03,Running,1835,8,False
M10,Running,2062,15,False
M08,Running,1889,9,False
M01,Running,1362,9,False
M01,Running,2229,11,False
M03,Running,997,9,False
M04,Running,1316,14,False
M07,Running,1631,8,False
M04,Running,2495,14,False
M01,Running,1576,7,False
M01,Running,2239,3,False
M07,Running,1478,10,False
M02,Idle,887,4,False
M10,Running,895,15,False
M05,Idle,1954,11,True
M06,Running,1224,10,False
M07,Idle,1412,3,False
M10,Idle,1596,11,False
M06,Running,2314,3,False
M02,Running,1508,1,False
M04,Idle,1497,10,False
M10,Running,2384,6,True
M05,Running,1722,8,False
M09,Idle,1684,3,False
M07,Running,2066,5,False
M02,Running,1115,7,False
M03,Running,1448,6,False
M01,Idle,1710,6,False
M02,Running,1183,7,False
M09,Running,1011,1,False
M09,Running,2024,13,False
M07,Running,1647,7,False
M09,Idle,1297,10,False
M07,Running,1350,5,False
M03,Running,1690,5,False
M08,Running,1539,5,False
M08,Running,1200,8,False
M05,Running,1610,6,False
M07,Idle,1474,8,False
M10,Running,1456,10,False
M04,Running,1163,7,False
M05,Running,2096,8,False
M04,Running,1374,14,False
M06,Running,1954,4,False
M09,Running,2372,9,True
M08,Idle,1229,8,False
M02,Idle,2429,13,False
M08,Running,1420,4,False
M03,Running,2416,7,False
M10,Running,1620,9,False
M07,Running,2419,6,False
M09,Running,974,2,False
M06,Running,2054,1,False
M07,Maintenance,1479,13,False
M01,Running,1254,9,False
M09,Running,1978,4,False
M07,Running,2191,10,False
M03,Running,850,8,False
M07,Idle,975,2,False
M03,Running,1502,8,False
M09,Running,1775,2,False
M08,Running,1414,1,False
M02,Running,1502,11,False
M03,Idle,2316,4,False
M09,Running,1946,7,False
M04,Running,2089,3,False
M07,Running,2310,10,False
M08,Running,1596,1,False
M04,Running,2241,13,False
M10,Running,1899,3,False
M04,Running,1337,11,False
M09,Maintenance,1441,10,False
M07,Running,1512,6,False
M10,Running,2179,12,False
M10,Running,2176,3,False
M04,Running,1174,6,False
M09,Running,2021,3,False
M07,Running,2101,9,False
M03,Running,1802,5,False
M06,Idle,2068,1,False
M01,Running,1199,14,False
M09,Running,1813,7,False
M07,Running,1709,8,False
M10,Running,2358,4,False
M05,Running,1391,3,False
M10,Running,2368,8,False
M02,Running,1348,13,False
M06,Running,2349,1,False
M08,Running,1670,2,False
M04,Running,866,8,False
M02,Running,1040,13,False
M04,Idle,2004,12,False
M10,Running,1139,10,False
M04,Idle,2449,1,False
M09,Running,1903,3,False
M05,Running,1347,14,False
M02,Running,2336,13,False
M01,Maintenance,2143,3,False
M03,Running,2256,6,False
M07,Running,1982,11,False
M07,Running,954,11,False
M02,Running,2335,5,False
M06,Running,1799,6,False
M02,Running,1738,11,False
M06,Idle,2429,9,False
M07,Idle,1813,5,False
M05,Running,1983,3,False
M08,Running,2197,13,True
M02,Running,1741,1,False
M03,Running,801,7,False
M03,Idle,1418,3,False
M05,Running,1538,5,False
M03,Running,2081,5,False
M04,Running,986,12,False
M04,Running,1071,10,False
M08,Running,2224,6,False
M07,Running,1778,2,False
M02,Running,1009,2,False
M05,Running,2384,14,False
M03,Running,2186,3,False
M10,Running,2131,3,False
M04,Running,1110,15,False
M08,Idle,977,15,False
M02,Running,1586,6,False
M06,Running,1307,5,False
M04,Running,2028,12,False
M01,Idle,2148,15,False
M09,Running,1186,12,False
M01,Running,2425,4,False
M02,Running,2106,10,False
M01,Maintenance,1448,3,False
M10,Running,1918,11,False
M08,Maintenance,2377,2,True
M02,Running,1241,1,False
M07,Running,2087,12,False
M07,Running,1623,2,False
M09,Running,1368,2,False
M09,Idle,2454,3,False
M07,Running,2363,14,False
M02,Running,1695,12,False
M04,Running,976,15,False
M08,Running,912,5,False
M03,Running,2249,3,False
M03,Running,1510,9,False
M05,Running,1059,12,False
M05,Running,1041,13,False
M06,Idle,1357,9,False
M10,Running,1816,8,False
M01,Running,1960,3,False
M05,Running,1975,11,False
M04,Running,805,1,False
M01,Running,1766,6,False
M03,Running,872,9,False
M07,Running,1308,7,False
M06,Running,959,10,False
M09,Running,907,3,False
M09,Maintenance,1621,2,False
M05,Running,1436,6,False
M08,Running,1210,5,False
M05,Running,1296,8,False
M08,Maintenance,2389,4,False
M09,Running,1302,3,True
M07,Running,1909,6,False
M01,Maintenance,802,13,False
M05,Running,1885,4,False
M01,Maintenance,1091,12,False
M01,Idle,1864,7,False
M06,Running,2331,2,False
M09,Running,2479,7,False
M10,Running,2156,3,False
M05,Idle,2440,7,False
M06,Running,1356,4,False
M04,Running,2377,10,False
M02,Running,1754,6,False
M09,Running,2377,4,False
M08,Running,1045,2,False
M05,Idle,2227,10,True
M06,Running,2256,4,False
M07,Running,2186,5,False
M03,Running,1628,14,False
M09,Running,1746,2,False
M03,Running,926,14,False
M04,Running,2486,7,False
M02,Running,1330,15,False
M01,Maintenance,1204,15,False
M03,Running,2498,13,False
M01,Idle,903,3,False
M07,Idle,1608,8,True
M07,Running,1239,15,False
M05,Running,1104,1,False
M10,Running,1404,8,False
M09,Running,979,5,False
M07,Running,2432,9,False
M09,Running,1583,13,False
M08,Running,1792,6,False
M09,Running,1353,3,True
M10,Running,2460,13,False
M08,Running,2370,10,False
M03,Running,2145,4,False
M01,Running,1249,10,False
M07,Running,1155,3,False
M06,Idle,2228,6,False
M01,Running,1520,10,False
M10,Idle,2459,15,False
M09,Running,1804,1,False
M04,Running,840,9,False
M06,Idle,1212,13,False
M03,Idle,1462,1,True
M10,Running,1090,13,False
M09,Idle,948,6,False
M07,Running,1489,5,False
M03,Running,1694,13,False
M08,Running,1156,12,False
M10,Running,1257,11,False
M03,Running,2303,12,False
M03,Running,2237,10,False
M10,Running,2033,6,False
M10,Running,1958,2,False
M03,Running,959,4,False
M06,Running,981,14,False
M06,Running,1343,4,False
M02,Running,2411,2,False
M01,Running,2300,7,False
M07,Running,1575,6,False
M02,Idle,2415,14,False
M04,Running,950,13,False
M05,Running,1334,2,False
M03,Idle,1129,12,False
M02,Running,2056,15,False
M01,Running,2138,3,False
M07,Running,1007,6,False
M04,Running,1934,12,False
M09,Running,1376,5,False
M01,Running,1925,14,False
M01,Running,1675,2,False
M10,Running,998,1,False
M05,Maintenance,1769,14,False
M07,Running,2153,5,False
M09,Running,1559,15,False
M03,Running,1339,8,False
M04,Idle,1955,1,False
M02,Running,1504,13,False
M10,Running,924,14,False
M09,Running,1896,11,False
M08,Running,1282,8,False
M07,Idle,2262,1,False
M09,Idle,2187,10,False
M08,Running,1142,4,False
M03,Running,960,11,False
M03,Idle,1328,6,False
M02,Running,1939,7,False
M05,Running,825,13,False
M10,Running,1659,2,False
M03,Running,1993,13,False
M02,Idle,1952,13,False
M05,Idle,1504,15,False
M07,Running,1971,10,False
M03,Running,1094,10,False
M07,Running,1478,12,False
M08,Idle,1562,1,False
M05,Running,1806,14,False
M02,Maintenance,1266,3,False
M08,Running,1457,5,False
M10,Running,1184,8,False
M07,Running,2355,9,False
M01,Running,1125,2,False
M09,Running,2398,14,False
M10,Running,1194,15,False
M01,Running,1734,1,False
M04,Running,2486,8,False
M02,Running,1295,6,False
M08,Running,1771,10,False
M06,Running,1329,12,False
M02,Running,1591,1,False
M10,Running,1238,14,False
M04,Running,1351,11,False
M01,Idle,2371,11,True
M03,Running,2031,13,True
M05,Running,1425,12,False
M05,Running,1571,14,False
M05,Running,1418,11,False
M10,Running,1009,1,False
M06,Running,2016,10,False
M02,Running,1488,5,False
M05,Running,2256,15,False
M04,Running,2367,4,False
M10,Running,1454,11,False
M01,Running,1405,5,False
M07,Running,872,10,False
M10,Idle,1502,12,False
M09,Running,1774,15,False
M06,Running,1148,14,False
M09,Running,999,8,False
M05,Running,1944,13,False
M06,Running,1255,6,False
M05,Running,1478,6,False
M05,Running,1041,8,False
M10,Running,2071,2,False
M04,Running,2194,7,False
M07,Running,1108,3,False
M06,Running,1966,15,False
M08,Running,2265,3,False
M08,Running,1162,6,False
M01,Running,1228,13,False
M10,Running,1802,13,False
M02,Running,1688,11,False
M07,Maintenance,1585,1,True
M04,Running,828,15,False
M09,Running,2185,1,False
M04,Running,1505,5,False
M07,Running,1426,3,False
M01,Running,1395,8,False
M10,Running,1688,15,False
M03,Running,1803,6,False
M03,Idle,2462,7,True
M04,Running,1068,4,False
M10,Running,1052,6,False
M01,Running,2111,5,False
M10,Running,898,11,False
M01,Running,1037,7,False
M02,Running,1771,12,False
M01,Running,2155,2,False
M05,Running,2235,3,False
M02,Running,2065,2,False
M02,Running,2047,4,False
M09,Maintenance,1533,12,False
M03,Running,1816,15,False
M08,Running,805,1,False
M02,Idle,2170,8,False
M02,Running,953,12,False
M05,Running,1735,5,False
M01,Running,1157,14,True
M05,Running,2186,6,False
M02,Running,2352,15,True
M03,Running,1149,6,False
M08,Maintenance,1349,15,False
M06,Idle,1174,2,False
M08,Running,1589,12,False
M07,Running,2432,3,False
M01,Maintenance,1126,2,False
M10,Running,1965,11,False
M10,Running,1534,10,True
M03,Running,1799,2,False
M08,Running,1335,11,False
M09,Running,1980,12,False
M06,Running,2209,12,False
M07,Running,1309,8,False
M07,Running,2492,9,False
M10,Running,2117,15,False
M08,Idle,1138,2,False
M06,Running,1369,1,False
M09,Running,1625,14,False
M08,Running,1973,8,False
M08,Running,1043,8,False
M01,Running,1644,1,False
M01,Idle,2421,10,False
M05,Idle,1951,4,False
M08,Maintenance,1544,14,False
M04,Idle,1479,9,False
M10,Running,2145,6,False
M02,Running,2149,4,True
M06,Idle,2438,5,False
M06,Running,893,15,False
M03,Idle,2320,12,False
M05,Running,1184,2,False
M07,Running,2488,13,False
M06,Running,1648,1,False
M10,Running,1722,8,False
M09,Running,1821,1,False
M01,Running,1686,14,False
M09,Running,1162,12,False
M03,Running,2146,10,False
M06,Running,1587,7,False
M04,Running,1502,5,False
M03,Running,2033,12,False
M09,Running,2236,9,False
M09,Running,1211,4,False
M05,Running,2177,3,False
M03,Running,2221,11,False
M02,Running,1951,8,False
M07,Running,1893,5,False
M07,Idle,1870,2,True
M03,Running,915,4,False
M03,Maintenance,2199,5,False
M01,Running,1404,4,False
M01,Running,1726,2,False
M09,Idle,2320,11,False
M04,Running,2431,13,False
M01,Idle,1593,7,False
M06,Maintenance,910,1,False
M04,Running,2399,14,False
M04,Idle,2243,12,False
M10,Running,2035,4,False
M04,Running,1163,11,False
M03,Running,1044,7,True
M05,Running,1066,3,False
M05,Running,1755,12,False
M01,Running,1460,10,False
M10,Idle,1416,8,False
M09,Running,2405,12,False
M04,Maintenance,1866,2,False
M03,Running,1899,7,False
M04,Idle,2158,6,False
M05,Running,2341,10,False
M09,Idle,2129,1,False
M06,Running,2115,10,False
M04,Maintenance,2197,15,False
M02,Running,1906,12,False
M09,Idle,1567,9,False
M08,Running,1407,15,False
M06,Running,996,3,False
M09,Running,2083,2,False
M04,Idle,1668,14,False
M09,Idle,2318,13,False
M02,Running,1114,1,False
M06,Running,950,1,False
M05,Running,1977,14,False
M05,Running,1723,11,False
M06,Running,2178,2,False
M10,Running,2327,10,True
M02,Running,1829,2,False
M05,Running,1376,13,False
M07,Running,2153,1,False
M09,Running,2329,7,False
M09,Running,2098,3,False
M06,Maintenance,822,9,False
M03,Running,810,10,False
M09,Running,974,5,False
M06,Running,2122,14,False
M03,Running,2063,14,False
M02,Running,2437,10,False
M09,Running,1925,2,False
M02,Running,1204,12,False
M06,Running,2174,11,False
M05,Running,1196,6,False
M06,Running,1426,12,False
M10,Running,2454,6,False
M03,Running,1304,13,False
M07,Running,1536,3,False
M06,Idle,1747,8,False
M05,Running,1022,3,False
M02,Idle,2492,3,False
M04,Running,2083,2,False
M01,Idle,2093,1,False
M10,Running,2008,4,False
M09,Running,1905,8,False
M03,Running,1257,15,False
M05,Running,1826,9,False
M06,Running,2157,4,False
M10,Running,2350,9,False
M03,Running,1958,11,False
M03,Running,1790,6,True
M08,Running,1341,6,False
M04,Running,2420,6,False
M08,Idle,881,11,False
M09,Running,1360,14,False
M10,Running,1156,7,False
M06,Running,959,9,False
M04,Running,1522,14,False
M08,Running,2037,1,False
M03,Running,1271,2,False
M05,Running,1182,3,False
M02,Running,1649,13,False
M02,Running,1780,8,False
M03,Running,1641,1,False
M03,Running,1129,3,False
M01,Idle,1100,1,False
M03,Running,1630,10,False
M01,Idle,2290,11,False
M02,Running,2042,8,False
M03,Running,1641,10,False
M10,Idle,1172,10,False
M05,Running,2204,6,False
M10,Running,1270,7,False
M02,Running,1870,14,False
M07,Idle,2040,2,False
M10,Running,2405,9,False
M02,Running,2150,3,False
M09,Idle,2386,11,False
M09,Running,888,12,False
M04,Idle,1787,13,False
M06,Running,2318,15,False
M10,Running,1074,5,False
M04,Idle,971,5,False
M09,Running,1187,1,False
M01,Running,1041,9,True
M04,Running,1446,7,False
M03,Running,1998,5,False
M09,Running,1548,10,False
M07,Running,1646,9,False
M08,Running,1945,9,False
M05,Running,2385,12,False
M03,Idle,2150,2,False
M08,Running,1131,2,False
M07,Running,2440,9,False
M01,Running,2102,1,False
M03,Running,2029,7,False
M05,Running,963,10,True
M07,Idle,1620,10,False
M05,Running,2023,1,False
M03,Running,1699,1,False
M09,Running,868,13,False
M09,Running,2059,3,False
M06,Running,800,3,False
M05,Running,1523,11,False
M10,Running,831,12,False
M02,Running,2287,14,False
M10,Running,2470,5,False
M04,Running,1627,10,True
M03,Running,1018,9,False
M05,Running,1039,13,False
M05,Idle,2465,13,False
M08,Maintenance,1953,8,False
M06,Maintenance,1739,11,False
M10,Idle,1787,2,False
M07,Running,1251,11,False
M06,Running,1523,9,False
M05,Running,990,7,False
M06,Running,1165,8,False
M04,Idle,1351,3,False
M04,Running,1208,4,False
